순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,Y (Y),2,N,Y,0.7500,0.8881,4,O, 
1,35,Y (Y),2,N,Y,0.7500,0.8881,4,O, 
2,20,Y (Y),6,N,Y,0.6666,0.7894,3,O, 
3,20,Y (Y),6,N,Y,0.5851,0.9210,3,O, 
4,16,Y (N),4,N,Y,0.9682,0.6666,4,O, 
5,15,Y (N),5,N,Y,0.8071,1.0000,4,O, 
6,10,Y (N),6,N,Y,0.7777,0.7777,4,O, 
7,10,Y (Y),6,N,Y,0.4851,0.7631,3,O, 
8,10,Y (Y),5,N,Y,0.8888,0.7894,4,O, 
9,10,Y (Y),5,N,Y,0.8296,0.8421,4,O, 
10,9,Y (Y),5,N,Y,0.8037,0.6315,4,O, 
11,7,Y (Y),6,N,Y,0.7703,0.9473,4,O, 
12,4,Y (Y),6,N,Y,0.7851,0.7894,4,O, 
13,4,Y (Y),6,N,Y,0.5407,0.9736,3,O, 
14,3,Y (Y),6,N,Y,0.6814,0.9473,4,O, 
15,2,Y (Y),6,N,Y,0.7851,0.7894,4,O, 
16,2,Y (Y),6,N,Y,0.5629,0.9210,3,O, 
17,1,Y (Y),6,N,Y,0.9111,0.9473,4,O, 
18,1,Y (Y),6,N,Y,0.8888,1.0000,4,O, 
19,1,Y (Y),6,N,Y,0.8444,1.0000,4,O, 
20,1,Y (Y),6,N,Y,0.8148,0.9473,4,O, 
21,1,Y (Y),6,N,Y,0.8074,0.7894,4,O, 
22,1,Y (Y),6,N,Y,0.7555,0.8421,4,O, 
23,1,Y (Y),6,N,Y,0.6518,1.0000,3,O, 
24,1,Y (Y),6,N,Y,0.5074,0.8947,3,O, 
25,1,Y (Y),5,N,Y,0.7777,0.7894,4,O, 
